content,chunk_index,collection,content_type,filename,sequence_number,source,source_file,title,total_chunks,useless_to_recall,questions
". About the .po file :- There are a few strings in the .po file that don't needs translation (ie: ""Bitcoin""). Maybe those shouldn't be inside _(""..."") ?- Others shouldn't be split. I can remember one message about transaction fee where the string is split in two to insert the fee value, where you could simply have put a %s. It makes the message harder to translate as I had to go in the source to find exactly what was going on.- Some strings have whitespace at the end or start, which necessity is very debatable, and it's easy to miss in PoEdit.Many of the strings are in code automatically generated from uiproject.fbp where nothing can be done about these things.Â  I have a program I use to find all the spacing inconsistencies at the beginning and ending of strings in your .po file and manually fix them up before I upload them to SVN.
Re: Website and software translations
July 15, 2010 at 18:30:22 UTC
BitcoinTalk",1,posts,post,post_199_Re__Website_and_software_translations,199,nakamotoinstitute_files\posts\post_199_Re__Website_and_software_translations.html,nakamotoinstitute_files\posts\post_199_Re__Website_and_software_translations.html,Re  Website and software translations,2,False,"[""What was Satoshi's view on translation in Bitcoin's early development?"", 'Did Satoshi mention the role of uiproject.fbp in generating strings for Bitcoin?', 'Why did Satoshi choose to split the transaction fee string in some cases, while using %s instead of splitting others?', 'How does Satoshi Nakamoto feel about leaving whitespace at the end or start of strings in a .po file?', 'Did Satoshi create a program to fix spacing inconsistencies in the Bitcoin strings?']"
"SHA256 is not like the step from 128 bit to 160 bit.To use an analogy, it's more like the step from 32-bit to 64-bit address space.Â  We quickly ran out of address space with 16-bit computers, we ran out of address space with 32-bit computers at 4GB, that doesn't mean we're going to run out again with 64-bit anytime soon.SHA256 is not going to be broken by Moore's law computational improvements in our lifetimes.Â  If it's going to get broken, it'll be by some breakthrough cracking method.Â  An attack that could so thoroughly vanquish SHA256 to bring it within computationally tractable range has a good chance of clobbering SHA512 too.If we see a weakness in SHA256 coming gradually, we can transition to a new hash function after a certain block number.Â  Everyone would have to upgrade their software by that block number.Â  The new software would keep a new hash of all the old blocks to make sure they're not replaced with another block with the same old hash.
Re: Hash() function not",0,posts,post,post_219_Re__Hash()_function_not_secure,219,nakamotoinstitute_files\posts\post_219_Re__Hash()_function_not_secure.html,nakamotoinstitute_files\posts\post_219_Re__Hash()_function_not_secure.html,Re  Hash() function not secure,2,False,"['What is the analog for the step from SHA256 to SHA512 in terms of address space?', 'How did Satoshi describe a potential weakness that could be used to break SHA256?', 'At what block number would it make sense for the Bitcoin network to transition to a new hash function according to this document?', ""Did Moore's law computational improvements pose an immediate threat to SHA256's security in Satoshi's view?"", ""How does the document's comparison of 16-bit and 64-bit address space relate to Bitcoin's use of SHA256?""]"
"make sure they're not replaced with another block with the same old hash.
Re: Hash() function not secure
July 16, 2010 at 16:13:53 UTC
BitcoinTalk",1,posts,post,post_219_Re__Hash()_function_not_secure,219,nakamotoinstitute_files\posts\post_219_Re__Hash()_function_not_secure.html,nakamotoinstitute_files\posts\post_219_Re__Hash()_function_not_secure.html,Re  Hash() function not secure,2,False,"[""What specific mechanism does Bitcoin use to ensure different blocks aren't replaced with the same old hash?"", 'Did Satoshi specifically mention concerns about the security of the hash function in his work on Bitcoin?', 'How did Satoshi approach the design and implementation of the block chain for Bitcoin, considering issues like collision prevention?']"
"We need someone to write sample code, preferably Python or Java, showing the recommended way to use the JSON-RPC interface to create an account system.Â  Most sites that sell things will need something like this.Â  Someone who's kept up on the JSON-RPC threads here should have some idea how it should work.When a user is logged in to their account, you show the bitcoin address they can send to to add funds.Â  Before showing it, you check if it's been used, if it has then you replace it with a new one (getnewaddress ).Â  You only need to keep the latest bitcoin address for the account in your database.Â  (I posted a sample code fragment for this in an earlier thread somewhere, search on getnewaddress)You use getreceivedbylabel  with the username as the label to get the ""credit"" amount of the account.Â  You need to keep a ""debit"" amount in your database.Â  The current balance of the account is (credit - debit).Â  When the user spends money, you increase debit.If you're requiring more than",0,posts,post,post_229_Sample_account_system_using_JSON-RPC_needed,229,nakamotoinstitute_files\posts\post_229_Sample_account_system_using_JSON-RPC_needed.html,nakamotoinstitute_files\posts\post_229_Sample_account_system_using_JSON-RPC_needed.html,Sample account system using JSON-RPC needed,2,False,"[""What is the recommended programming language for implementing a JSON-RPC interface in Bitcoin's account system?"", ""How does Satoshi Nakamoto's proposal for account systems address peer-to-peer networks?"", ""Does Satoshi mention a specific balance update method (e.g., 'credit - debit') when handling transactions in the account system?"", ""What is the purpose of the 'getnewaddress' function in the context of account systems and Bitcoin?"", 'Can a user verify if their Bitcoin address has been previously used and replaced using the getnewaddress function?']"
"is (credit - debit).Â  When the user spends money, you increase debit.If you're requiring more than 0 confirmations, it's nice if you show the current balance (0 confirmations) and the available balance (1 or more confirmations), so they can immediately see that their payment is acknowledged.Â  Not all sites need to wait for confirmations, so the dual current & available should be optional.Â  Most sites selling digital goods are fine to accept 0 confirmations.A nice sample app for this would be a simple bank site, which would have the above, plus the option to send a payment to a bitcoin address.Â  The sample code should be the simplest possible with the minimum extra stuff to make it a working site.vekja.net is an example of a site like this.
Sample account system using JSON-RPC needed
July 16, 2010 at 19:45:10 UTC
BitcoinTalk",1,posts,post,post_229_Sample_account_system_using_JSON-RPC_needed,229,nakamotoinstitute_files\posts\post_229_Sample_account_system_using_JSON-RPC_needed.html,nakamotoinstitute_files\posts\post_229_Sample_account_system_using_JSON-RPC_needed.html,Sample account system using JSON-RPC needed,2,False,"[""What is Bitcoin's current spending system, and how does it handle confirmation levels?"", 'Does Satoshi Nakamoto believe that certain websites need to wait for confirmations before accepting payments?', ""How would a simple bank site incorporating Bitcoin functionality work, according to Satoshi's sample code?""]"
"We should queue up a supply of pre-made addresses in the wallet to use when a new address is needed.Â  They aren't very big, so it wouldn't hurt to have a lot of them.Â  This would more generally cover the case also where someone backs up, then requests a new address and receives a big payment with it.Â  Maybe there should be separate queues so one type of demand on addresses doesn't deplete it for the others.The addresses would be created and stored in the normal place, but also listed on a separate list of created-but-never-used addresses.Â  When an address is requested, the address at the front of the never-used queue is handed out, and a new address is created and added to the back.There's some kind of rescan in the block loading code that was made to repair the case where someone copied their wallet.dat.Â  I would need to check that the rescan handles the case of rediscovering received payments in blocks that were already received, but are forgotten because the wallet was",0,posts,post,post_233_Re__Privacy_versus_Safety__handling_change,233,nakamotoinstitute_files\posts\post_233_Re__Privacy_versus_Safety__handling_change.html,nakamotoinstitute_files\posts\post_233_Re__Privacy_versus_Safety__handling_change.html,Re  Privacy versus Safety  handling change,2,False,"['Can pre-made addresses be stored in a separate list to improve wallet efficiency?', ""How does Satoshi's proposed method for handling backups and new payments differ from traditional address requests?"", 'Does the document describe any specific rescan procedures for repairing corrupted wallet.dat files?', 'When was the block loading code modified to handle rediscovering received payments in previously forgotten blocks?', 'Were pre-made addresses intended to reduce demand on standard addresses during peak payment periods?']"
"received payments in blocks that were already received, but are forgotten because the wallet was restored.
Re: Privacy versus Safety: handling change
July 17, 2010 at 16:27:39 UTC
BitcoinTalk",1,posts,post,post_233_Re__Privacy_versus_Safety__handling_change,233,nakamotoinstitute_files\posts\post_233_Re__Privacy_versus_Safety__handling_change.html,nakamotoinstitute_files\posts\post_233_Re__Privacy_versus_Safety__handling_change.html,Re  Privacy versus Safety  handling change,2,False,"[""What peer-to-peer network principles influenced Satoshi Nakamoto's blockchain design?"", 'In what year did the discussion of handling change occur, and was it solely focused on privacy or also safety?', 'How did restoring a wallet impact receipt tracking in Bitcoin.', 'Was there any specific protocol consideration for dealing with re-received but ignored transaction blocks?']"
"I believe it'll be possible for a payment processing company to provide as a service the rapid distribution of transactions with good-enough checking in something like 10 seconds or less.The network nodes only accept the first version of a transaction they receive to incorporate into the block they're trying to generate. Â When you broadcast a transaction, if someone else broadcasts a double-spend at the same time, it's a race to propagate to the most nodes first. Â If one has a slight head start, it'll geometrically spread through the network faster and get most of the nodes.A rough back-of-the-envelope example:1 Â  Â  Â  Â  04 Â  Â  Â  Â  116 Â  Â  Â  Â 464 Â  Â  Â  Â 1680% Â  Â  Â 20%So if a double-spend has to wait even a second, it has a huge disadvantage.The payment processor has connections with many nodes. Â When it gets a transaction, it blasts it out, and at the same time monitors the network for double-spends",0,posts,post,post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem),236,nakamotoinstitute_files\posts\post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,nakamotoinstitute_files\posts\post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,Re  Bitcoin snack machine (fast transaction problem),2,False,"[""What was Satoshi's view on peer-to-peer networks?"", ""How does the network nodes' behavior relate to the speed of transaction propagation?"", 'Did Satoshi mention any specific timelines for achieving rapid distribution in 10 seconds or less?', 'What is the significance of a slight head start in terms of transactions and their propagation through the network?', ""What happened when a double-spend occurred at the same time as another broadcast, according to Satoshi's idea?"", 'Can payment processing companies provide good-enough checking for transactions via connections with many nodes?']"
". Â If it receives a double-spend on any of its many listening nodes, then it alerts that the transaction is bad. Â A double-spent transaction wouldn't get very far without one of the listeners hearing it. Â The double-spender would have to wait until the listening phase is over, but by then, the payment processor's broadcast has reached most nodes, or is so far ahead in propagating that the double-spender has no hope of grabbing a significant percentage of the remaining nodes.
Re: Bitcoin snack machine (fast transaction problem)
July 17, 2010 at 22:29:13 UTC
BitcoinTalk",1,posts,post,post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem),236,nakamotoinstitute_files\posts\post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,nakamotoinstitute_files\posts\post_236_Re__Bitcoin_snack_machine_(fast_transaction_problem).html,Re  Bitcoin snack machine (fast transaction problem),2,False,"['What does it mean for a double-spent transaction to get noticed by the listening nodes?', ""How would a double-spender's chances of grabbing most nodes change after the broadcast period ends?"", 'What is the role of the listening phase in preventing double-spends?']"
"Quote from: lachesis on June 16, 2010, 06:14:05 AMI think you're misunderstanding the issue. My browser will always be able to go to 127.0.0.1 (barring some strange IE settings or a virus). If I type the address into the URL bar or click a link, it will work fine. However, it isn't possible to use Javascript to complete POST requests between domains (or ports on the same domain).That's what I thought too.Quote from: sirius-m on June 16, 2010, 08:26:14 AMYeah, I meant to say that cross-domain javascript calls are forbidden, so you can't call 127.0.0.1 from a javascript that doesn't reside in 127.0.0.1",0,posts,post,post_243_Re__URI-scheme_for_bitcoin,243,nakamotoinstitute_files\posts\post_243_Re__URI-scheme_for_bitcoin.html,nakamotoinstitute_files\posts\post_243_Re__URI-scheme_for_bitcoin.html,Re  URI-scheme for bitcoin,2,False,"['What does lachesis mean in this context?', 'Can cross-domain Javascript calls be made through port forwarding?', 'Is it possible to use JavaScript for POST requests between domains with the same IP?', 'Did Satoshi mention anything about IE settings or viruses related to his browser settings?']"
". Come to think of it, it would be quite funny if browsers allowed malicious cross-domain javascript to change people's Facebook pages etc.Now I'm hearing a report that it IS possible for javascript to do a cross-domain POST request to 127.0.0.1.Â  Not other domains, but just specifically to that one.Â  Great...If this is the case, then do not use the -server switch or bitcoind on a system where you do web browsing.I'll get started on adding the password field.
Re: URI-scheme for bitcoin
July 18, 2010 at 16:06:16 UTC
BitcoinTalk",1,posts,post,post_243_Re__URI-scheme_for_bitcoin,243,nakamotoinstitute_files\posts\post_243_Re__URI-scheme_for_bitcoin.html,nakamotoinstitute_files\posts\post_243_Re__URI-scheme_for_bitcoin.html,Re  URI-scheme for bitcoin,2,False,"['What did Satoshi Nakamoto say about the potential security risks of cross-domain JavaScript and browser updates?', ""Did Satoshi mention any specific concerns about malicious cross-domain JavaScript impacting Bitcoin's functionality?"", ""According to the document, where is it possible for JavaScript to perform a cross-domain POST request within Bitcoin's ecosystem?""]"
"I uploaded to SVN my changes to add a password to JSON-RPC. Â If you're set up to build, please test it.The -server switch is replaced with -rpcpw=, which is also used with bitcoind.bitcoin -rpcpw= Â  Â -- runs with JSON-RPC port openbitcoind -rpcpw= Â  -- daemon with passwordIf you have a better idea for the switch name, let me know, but keep in mind there will eventually be a password for encrypting the database too.Â  I'm not sure but I think they may want to use different passwords for the two.It gives a warning if you don't set a password.All commands now require the password as the first parameter",0,posts,post,post_245_JSON-RPC_password,245,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,JSON-RPC password,3,False,"['What new security feature did Satoshi Nakamoto add to Bitcoin to protect JSON-RPC?', 'How does the -server switch become -rpcpw in Bitcoin development?', 'Did Satoshi initially plan to use different passwords for encrypting the database and JSON-RPC?', 'Was there a warning message displayed when Satoshi uploaded his changes to SVN that required password authentication?', 'Can commands other than bitcoind run with JSON-RPC port open?', 'Is bitcoind considered to eventually have a password for encrypting the database?']"
". Â It'll tell you that if you run ""bitcoind help"".The central code:// Check passwordif (params.size() < 1 || params[0].type() != str_type)throw runtime_error(""First parameter must be the password."");if (params[0].get_str() != strRPCPassword){if (strRPCPassword.size() < 15)Sleep(50);begin = strRequest.end();printf(""ThreadRPCServer incorrect password attempt
"");throw runtime_error(""Incorrect password."");}Any comments on these decisions?1) if (strRPCPassword.size() < 15) Sleep(50); Â -- this means if it's a short password, it'll wait 50ms after each attempt. Â This might be used as a DoS attack, but I figured if it's a short password, it's more important to protect against brute force password scan. Â This may tell outsiders whether the password is less than 15 characters, but less than 15 isn't all that noteworthy, most passwords are less than 15",1,posts,post,post_245_JSON-RPC_password,245,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,JSON-RPC password,3,False,"['What protection method was used for password entry if it is a short password?', ""Did Satoshi's goal include protecting against brute force password scans?"", 'Is the length of the password more than 15 characters a useful indicator in any way?', 'When did Satoshi Nakamoto introduce this protection measure?']"
". Â If you want to close the DoS possibility, just use a password 15 characters or longer.2) begin = strRequest.end(); Â -- if it's a single request with multiple invocations, I throw away the rest if one has a bad password. Â This is so you can't stuff it with millions of password attempts in one packet. Â What do you think, is this the right thing to do? Â (multiple invocation is probably almost never used anyway)I also fixed the two duplicated commands listed in the help:getaddressesbylabel  getbalance getblockcount getblocknumber getconnectioncount getdifficulty getgenerate getinfo getlabel  getnewaddress  [label]getreceivedbyaddress   [minconf=1]getreceivedbylabel   [minconf=1]help listreceivedbyaddress  [minconf=1] [includeempty=false]listreceivedbylabel  [minconf=1] [includeempty=false]sendtoaddress    [comment] [comment-to]setgenerate   [genproclimit]setlabel   stop 
JSON-RPC password
July 18, 2010 at 20:49:22 UTC
BitcoinTalk",2,posts,post,post_245_JSON-RPC_password,245,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,nakamotoinstitute_files\posts\post_245_JSON-RPC_password.html,JSON-RPC password,3,False,"['What security measure did Satoshi implement to prevent mass password attacks in Bitcoin?', 'Did Satoshi Nakamoto suggest a minimum password length for DoS prevention?', ""How does the author's proposed solution address the single-request scenario?"", 'Was the duplicated commands issue fixed as mentioned?', 'Is it suggested that multiple invocations are almost never used?']"
"OpenSSL doesn't have any interface for doing just the low level raw block hash part of SHA256. Â SHA256 begins by wrapping your data in a specially formatted buffer. Â Setting up the buffer takes an order of magnitude longer than the actual hashing if you're only hashing one or two blocks like we do. Â It's intended that the time is amortised if you were hashing many KB or MB of data. Â In BitcoinMiner, we format the buffer once and keep reusing it.If you can find SHA256 code that's faster (with MinGW/GCC) than what we've got, that would be really great! Â (although, keep licensing in mind) Â The one we have is the only one I tried, so there's significant chance for improvement.When I wrote it more than 2 years ago, there were screaming hot SHA1 implementations but minimal attention to SHA256. Â That's a lot of time for them to come up with better stuff. Â SHA256 was a lot slower than the fastest SHA1 at the time than I thought it should be",0,posts,post,post_246_Re__MSVC_build_&_SHA-256,246,nakamotoinstitute_files\posts\post_246_Re__MSVC_build_&_SHA-256.html,nakamotoinstitute_files\posts\post_246_Re__MSVC_build_&_SHA-256.html,Re  MSVC build & SHA-256,2,False,"[""What was Satoshi's view on the performance of SHA256 compared to other hashing algorithms?"", 'Does OpenSSL have a built-in interface for raw block hash calculation?', 'When was the document sent and what was the estimated improvement needed in its SHA256 implementation?', 'Was there any significant attention given to SHA256 implementations at the time the document was written?', 'Did Satoshi comment on the complexity of generating a specially formatted buffer for wrapping data in SHA256?', 'Can SHA256 be made faster with MinGW/GCC than the existing implementation?', 'At what point did Satoshi decide to reuse the formatted buffer in BitcoinMiner?']"
". Â SHA256 was a lot slower than the fastest SHA1 at the time than I thought it should be. Â Obviously SHA256 should be slower than SHA1 by a certain amount, but not by as much as I saw.(hope you don't mind I renamed your thread, SHA-256 optimisation is something important that I keep forgetting about)
Re: MSVC build & SHA-256
July 18, 2010 at 21:24:09 UTC
BitcoinTalk",1,posts,post,post_246_Re__MSVC_build_&_SHA-256,246,nakamotoinstitute_files\posts\post_246_Re__MSVC_build_&_SHA-256.html,nakamotoinstitute_files\posts\post_246_Re__MSVC_build_&_SHA-256.html,Re  MSVC build & SHA-256,2,False,"[""What was Satoshi's view on the performance of SHA-256 compared to other algorithms like SHA-1?"", 'In what year did Satoshi realize that SHA-256 was slower than expected?', ""Did Satoshi mention any specific benefits or drawbacks associated with choosing SHA-256 over SHA-1 for Bitcoin's blockchain?""]"
"So you drop a settings file in the ~/.bitcoin directory, that sounds better. Â In the ""no password is set"" warning, it could tell you where the file is and what to do.What is the most popular and common settings file format?HTTP basic authentication should be considered. Â In actual practice though, it's more work for web developers to figure out how to specify the password through some extra parameter in the HTTP or JSON-RPC wrapper than to just stick an extra parameter at the beginning of the parameter list. Â What do you think? Â Does HTTP basic authentication get us any additional benefits?Â  Moving it off the parameter list but then you still have to specific it in a more esoteric place I'm not sure is a net win.Quote from: gavinandresen on July 19, 2010, 12:02:39 PMI was confused for a bit because the password is given LAST on the command line, but FIRST in the JSON-RPC params list",0,posts,post,post_251_Re__JSON-RPC_password,251,nakamotoinstitute_files\posts\post_251_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_251_Re__JSON-RPC_password.html,Re  JSON-RPC password,2,False,"['What is the most common settings file format in Bitcoin?', 'Is HTTP basic authentication considered for password security in Bitcoin?', ""How does Satoshi Nakamoto's view on HTTP basic authentication compare to using a parameter at the beginning of the command line list?""]"
". Â I agree that reading the command-line password from a file would be more convenient and more secure.You're also confusing me, what do you mean? Â Did I do something unintended?
Re: JSON-RPC password
July 19, 2010 at 16:20:50 UTC
BitcoinTalk",1,posts,post,post_251_Re__JSON-RPC_password,251,nakamotoinstitute_files\posts\post_251_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_251_Re__JSON-RPC_password.html,Re  JSON-RPC password,2,False,"[""What did Satoshi Nakamoto mean by 'security in a trust-less system'?"", 'Was Satoshi referring to the Bitcoin network as a decentralized peer-to-peer network in this message?', 'In what year was Satoshi discussing password security for JSON-RPC and how did he think it could be improved?', 'Did Satoshi mention specific benefits or advantages of using a command-line interface with a password file?', 'What were some concerns about storing passwords on the command line?']"
"Bitcoin is an implementation of Wei Dai's b-money proposalhttp://weidai.com/bmoney.txton Cypherpunkshttp://en.wikipedia.org/wiki/Cypherpunksin 1998 and Nick Szabo's Bitgold proposalhttp://unenumerated.blogspot.com/2005/12/bit-gold.htmlThe timing is strange, just as we are getting a rapid increase in 3rd party coverage after getting slashdotted. Â I hope there's not a big hurry to wrap the discussion and decide. Â How long does Wikipedia typically leave a question like that open for comment?It would help to condense the article and make it less promotional sounding as soon as possible. Â Just letting people know what it is, where it fits into the electronic money space, not trying to convince them that it's good",0,posts,post,post_252_Re__They_want_to_delete_the_Wikipedia_article,252,nakamotoinstitute_files\posts\post_252_Re__They_want_to_delete_the_Wikipedia_article.html,nakamotoinstitute_files\posts\post_252_Re__They_want_to_delete_the_Wikipedia_article.html,Re  They want to delete the Wikipedia article,2,False,"[""What was Satoshi Nakamoto's background in relation to Cypherpunks?"", 'When did Wikipedia decide to open the article on Bitcoin for comment?', ""Did Nick Szabo's Bitgold proposal influence Satoshi Nakamoto?"", 'What is weidai.com/bmoney(txton and how does it relate bitcoin?', 'How long before a rapid increase in 3rd party coverage had bitcoin slashdotted?', 'On what date was Wikipedia created to get slashdotted ? ']"
". Â They probably want something that just generally identifies what it is, not tries to explain all about how it works.If you post inhttp://en.wikipedia.org/wiki/Wikipedia:Articles_for_deletion/Bitcoinplease don't say ""yeah, but bitcoin is really important and special so the rules shouldn't apply"" or argue that the rule is dumb or unfair. Â That only makes it worse. Â Try to address how the rule is satisfied.Search ""bitcoin"" on google and see if you can find more big references in addition to the infoworld and slashdot ones. Â There may be very recent stuff being written by reporters who heard about it from the slashdot article.I hope it doesn't get deleted. Â If it does, it'll be hard to overcome the presumption.Â  Institutional momentum is to stick with the last decision.Â  (edit: or at least I assume so, that's how the world usually works, but maybe Wiki is different)
Re: They want to delete the Wikipedia article
July 20, 2010 at 18:38:28 UTC
BitcoinTalk",1,posts,post,post_252_Re__They_want_to_delete_the_Wikipedia_article,252,nakamotoinstitute_files\posts\post_252_Re__They_want_to_delete_the_Wikipedia_article.html,nakamotoinstitute_files\posts\post_252_Re__They_want_to_delete_the_Wikipedia_article.html,Re  They want to delete the Wikipedia article,2,False,"['What did Satoshi Nakamoto say about peer-to-peer networks?', 'Did Satoshi mention institutional momentum in the context of Wikipedia article deletion?', ""Why does Satoshi think it's important to satisfy the rules for deleting a Wikipedia article?""]"
"I was researching config file formats, here's a comparison.YAML is massive. Â I'm not sure there's a lightweight easy to build library we can integrate into our project",0,posts,post,post_254_Re__JSON-RPC_password,254,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,Re  JSON-RPC password,4,False,"['What did Satoshi Nakamoto say about YAML?', 'Was peer-to-peer networks a topic of discussion in this document?', 'How does the author rate the complexity of YAML configuration.']"
". Â Seems overkill.JSON is tempting and I'm inclined to like it, but two main sticking points:1) No comments! Â How can you have a config file where you can't comment out a line to disable it?2) Not very user friendly to have to ""quote"" all the strings, including the keys, and also have to remember the comma at the end of lines.{""key"" : ""value"",}I suppose we could easily preprocess JSON reading the config file one line at a time, truncate the lines at any # character (and/or ""//""?), concatenate them into a string and pass it to JSON, so you could go:# comment""key"" : ""value"", Â  # still have to remember the comma""key2"" : ""value"", Â  // comment like this or bothBoost has boost::program_options.We could read lines ourselves and feed them into a map mapConfig.while (!eof)read lineif '#' found, truncate linesplit line at first ':' -> key, valuemapConfig.insert(key, value)If we use the syntax:# commentkey : value...and don't allow whitespace indenting before the keys, I guess we would be a",1,posts,post,post_254_Re__JSON-RPC_password,254,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,Re  JSON-RPC password,4,False,"['What specific issues led Satoshi Nakamoto to prefer JSON over other data formats?', ""How does Boost's boost::program_options influence the JSON implementation of Satoshi's config file?"", 'Did Satoshi consider whitespace indenting when deciding on the syntax for comments in JSON?', 'Can using a preprocessor to strip comments from configuration files improve readability?', 'Are there any trade-offs between the JSON approach and reading lines directly into a map?']"
"commentkey : value...and don't allow whitespace indenting before the keys, I guess we would be a subset of YAML and could switch to YAML someday if we need more complexity.If we go with self parsed, that doesn't mean we can't use JSON on particular parameter values as needed",2,posts,post,post_254_Re__JSON-RPC_password,254,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,Re  JSON-RPC password,4,False,"[""What was Satoshi Nakamoto's perspective on using YAML and JSON in the Bitcoin project?"", 'Did Satoshi mention the use of a self-parsed system for any particular aspects of Bitcoin development?', 'Can you confirm if Satoshi envisioned or implemented peer-to-peer networks through the switch to YAML, with consideration from a self-parsed approach?']"
". Â If an option needs a list or more structured data, it could always parse its value as json:key : [""item1"", ""item2"", ""item3""]Although it has to be all on one line then.I guess I'm leaning towards self parsed mapConfig:# commentkey : value
Re: JSON-RPC password
July 21, 2010 at 05:51:34 UTC
BitcoinTalk",3,posts,post,post_254_Re__JSON-RPC_password,254,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_254_Re__JSON-RPC_password.html,Re  JSON-RPC password,4,False,"['What did Satoshi Nakamoto suggest for parsing complex data in Bitcoin-related options?', ""Can an option's JSON value be self-parsed from a single line of text?"", 'How does Satoshi approach defining data structures in their configuration files?(specifically, how would they format these in the example given)', 'Does Satoshi mention the use of JSON in general across their projects or ideas related to Bitcoin?', ""How is an option in Bitcoin's parameters set up using a map-style config file?""]"
"Quote from: gavinandresen on July 21, 2010, 12:11:10 PMI just did a quick survey of 20 .conf files in /etc on my debian system, and found:1 file used ""key value""5 used ""key=value""Thanks for that survey!I find ""key value"" a little unnatural.Â  There ought to be a more definite separator between key and value that suggests assignment.Â  The space people may just be getting lazy using their language's split function.key=some full sentence with spaces in it.Â  # seems more clearkey some full sentence with spaces in it.Â  # than thisAllright then, lets go with self-parsed mapConfig, syntax:# commentkey=valuefile extension .conf.Â  What's the filename, is it ~/.bitcoin/settings.conf or ~/.bitcoin/bitcoin.conf or what?I think we better strip whitespace at the beginning and end of the key and the value.# user who likes column formattedkÂ  Â  Â  Â  Â  Â  = valuekeyÂ  Â  Â  Â  Â = valuelongerkey =Â  Â this sentence would be thisÂ  Â  # ""this sentence would be this""key = valueÂ  Â # guess this is",0,posts,post,post_255_Re__JSON-RPC_password,255,nakamotoinstitute_files\posts\post_255_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_255_Re__JSON-RPC_password.html,Re  JSON-RPC password,2,False,"['What kind of separator did Satoshi Nakamoto initially suggest for the key-value pairs in the .conf files?', ""Did Satoshi prefer a 'key = value' format over the space-separated syntax?"", ""Was Satoshi's preference influenced by any considerations regarding language design or user laziness?"", 'How does Satoshi distinguish between assigned values and comments using # symbols?', 'In what directory were .conf files typically stored on a Debian system at that time?', 'Did Satoshi propose any filename for the bitcoin.conf file?', 'Would Satoshi trim whitespace from the beginning and end of keys and values in a self-parsed mapConfig syntax?']"
"Â this sentence would be thisÂ  Â  # ""this sentence would be this""key = valueÂ  Â # guess this is ok toonextkey = valueright = justifiedThe normal syntax should be ""key=value"", but you can't blame people for the occasional ""key = value"".
Re: JSON-RPC password
July 21, 2010 at 16:07:57 UTC
BitcoinTalk",1,posts,post,post_255_Re__JSON-RPC_password,255,nakamotoinstitute_files\posts\post_255_Re__JSON-RPC_password.html,nakamotoinstitute_files\posts\post_255_Re__JSON-RPC_password.html,Re  JSON-RPC password,2,False,"['Did Satoshi Nakamoto say anything about JSON-RPC password security?', ""What does the term 'normal syntax' mean in this context, and how does it relate to the provided code snippet?"", 'In what year (and month/year) did Satoshi release his comment on JSON-RPC passwords?']"
"By making some adjustments to the database settings, I was able to make the initial block download about 5 times faster. Â It downloads in about 30 minutes.The database default had it writing each block to disk synchronously, which is not necessary. Â I changed the settings to let it cache the changes in memory and write them out in a batch. Â Blocks are still written transactionally, so either the complete change occurs or none of it does, in either case the data is left in a valid state.I only enabled this change during the initial block download",0,posts,post,post_261_Faster_initial_block_download_(5x_faster),261,nakamotoinstitute_files\posts\post_261_Faster_initial_block_download_(5x_faster).html,nakamotoinstitute_files\posts\post_261_Faster_initial_block_download_(5x_faster).html,Faster initial block download (5x faster),2,False,"['How did Satoshi Nakamoto achieve a significant speedup in the initial block download of Bitcoin?', 'Were blocks written to disk transactionally in the original database default?', 'What was the result of enabling changes to the batch caching in the database during the initial block download?']"
